date,question,profil,réponse,ratio
01/02/2011,Transport,92 - Hauts-de-seine,ST-,"31,70"
01/02/2011,Transport,93 - Seine-Saint-Denis,ST-,"47,30"
01/02/2011,Transport,94 - Val-de-Marne,ST-,"36,40"
01/02/2011,Transport,95 - Val d'Oise,ST-,"47,60"
01/02/2011,Environnement,Total,ST-,"37,70"
01/02/2011,Environnement,Homme,ST-,"35,90"
01/02/2011,Environnement,Femme,ST-,"39,50"
01/02/2011,Environnement,18 - 24 ans,ST-,"42,70"
01/02/2011,Environnement,25 - 34 ans,ST-,"38,50"
01/02/2011,Environnement,35 - 49 ans,ST-,"41,70"
01/02/2011,Environnement,50 - 64 ans,ST-,"35,80"
01/02/2011,Environnement,65 ans et +,ST-,"28,50"
01/02/2011,Environnement,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ST-,"43,60"
01/02/2011,Environnement,"Profession intermédiaire (technicien, agent de maitrise)",ST-,"42,40"
01/02/2011,Environnement,Employé et personnel de service,ST-,"38,10"
01/02/2011,Environnement,Ouvrier qualifié et non qualifié,ST-,"39,50"
01/02/2011,Environnement,Retraité,ST-,"30,60"
01/02/2011,Environnement,75 - Paris,ST-,"44,50"
01/02/2011,Environnement,77 - Seine et Marne,ST-,"26,40"
01/02/2011,Environnement,78 - Yvelines,ST-,"30,70"
01/02/2011,Environnement,91 - Essonne,ST-,"31,70"
01/02/2011,Environnement,92 - Hauts-de-seine,ST-,"32,90"
01/02/2011,Environnement,93 - Seine-Saint-Denis,ST-,"42,90"
01/02/2011,Environnement,94 - Val-de-Marne,ST-,"48,80"
01/02/2011,Environnement,95 - Val d'Oise,ST-,"39,10"
01/02/2011,Economique,Total,ST-,"45,00"
01/02/2011,Economique,Homme,ST-,"46,20"
01/02/2011,Economique,Femme,ST-,"43,80"
01/02/2011,Economique,18 - 24 ans,ST-,"35,70"
01/02/2011,Economique,25 - 34 ans,ST-,"41,00"
01/02/2011,Economique,35 - 49 ans,ST-,"49,00"
01/02/2011,Economique,50 - 64 ans,ST-,"51,90"
01/02/2011,Economique,65 ans et +,ST-,"41,00"
01/02/2011,Economique,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",ST-,"36,40"
01/02/2011,Economique,"Profession intermédiaire (technicien, agent de maitrise)",ST-,"49,50"
01/02/2011,Economique,Employé et personnel de service,ST-,"46,80"
01/02/2011,Economique,Ouvrier qualifié et non qualifié,ST-,"49,00"
01/02/2011,Economique,Retraité,ST-,"44,50"
01/02/2011,Economique,75 - Paris,ST-,"38,90"
01/02/2011,Economique,77 - Seine et Marne,ST-,"47,80"
01/02/2011,Economique,78 - Yvelines,ST-,"37,50"
01/02/2011,Economique,91 - Essonne,ST-,"45,30"
01/02/2011,Economique,92 - Hauts-de-seine,ST-,"40,00"
01/02/2011,Economique,93 - Seine-Saint-Denis,ST-,"52,90"
01/02/2011,Economique,94 - Val-de-Marne,ST-,"48,80"
01/02/2011,Economique,95 - Val d'Oise,ST-,"53,20"
01/02/2011,Transport,Total,Très satisfait,"9,30"
01/02/2011,Transport,Homme,Très satisfait,"9,60"
01/02/2011,Transport,Femme,Très satisfait,"8,90"
01/02/2011,Transport,18 - 24 ans,Très satisfait,"10,10"
01/02/2011,Transport,25 - 34 ans,Très satisfait,"6,20"
01/02/2011,Transport,35 - 49 ans,Très satisfait,"8,20"
01/02/2011,Transport,50 - 64 ans,Très satisfait,"7,50"
01/02/2011,Transport,65 ans et +,Très satisfait,"17,10"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Très satisfait,"3,40"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)",Très satisfait,"7,90"
01/02/2011,Transport,Employé et personnel de service,Très satisfait,"7,30"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,Très satisfait,"7,10"
01/02/2011,Transport,Retraité,Très satisfait,"14,10"
01/02/2011,Transport,75 - Paris,Très satisfait,"13,80"
01/02/2011,Transport,77 - Seine et Marne,Très satisfait,"1,60"
01/02/2011,Transport,78 - Yvelines,Très satisfait,"6,30"
01/02/2011,Transport,91 - Essonne,Très satisfait,"7,00"
01/02/2011,Transport,92 - Hauts-de-seine,Très satisfait,"12,60"
01/02/2011,Transport,93 - Seine-Saint-Denis,Très satisfait,"9,50"
01/02/2011,Transport,94 - Val-de-Marne,Très satisfait,"12,60"
01/02/2011,Transport,95 - Val d'Oise,Très satisfait,"6,60"
01/02/2011,Environnement,Total,Très satisfait,"11,00"
01/02/2011,Environnement,Homme,Très satisfait,"12,20"
01/02/2011,Environnement,Femme,Très satisfait,"9,90"
01/02/2011,Environnement,18 - 24 ans,Très satisfait,"9,00"
01/02/2011,Environnement,25 - 34 ans,Très satisfait,"6,30"
01/02/2011,Environnement,35 - 49 ans,Très satisfait,"9,80"
01/02/2011,Environnement,50 - 64 ans,Très satisfait,"11,00"
01/02/2011,Environnement,65 ans et +,Très satisfait,"21,20"
01/02/2011,Environnement,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Très satisfait,"6,80"
01/02/2011,Environnement,"Profession intermédiaire (technicien, agent de maitrise)",Très satisfait,"8,40"
01/02/2011,Environnement,Employé et personnel de service,Très satisfait,"7,90"
01/02/2011,Environnement,Ouvrier qualifié et non qualifié,Très satisfait,"10,00"
01/02/2011,Environnement,Retraité,Très satisfait,"18,20"
01/02/2011,Environnement,75 - Paris,Très satisfait,"5,00"
01/02/2011,Environnement,77 - Seine et Marne,Très satisfait,"17,80"
01/02/2011,Environnement,78 - Yvelines,Très satisfait,"17,00"
01/02/2011,Environnement,91 - Essonne,Très satisfait,"11,60"
01/02/2011,Environnement,92 - Hauts-de-seine,Très satisfait,"12,20"
01/02/2011,Environnement,93 - Seine-Saint-Denis,Très satisfait,"8,30"
01/02/2011,Environnement,94 - Val-de-Marne,Très satisfait,"9,60"
01/02/2011,Environnement,95 - Val d'Oise,Très satisfait,"10,60"
01/02/2011,Economique,Total,Très satisfait,"6,00"
01/02/2011,Economique,Homme,Très satisfait,"6,80"
01/02/2011,Economique,Femme,Très satisfait,"5,20"
01/02/2011,Economique,18 - 24 ans,Très satisfait,"8,70"
01/02/2011,Economique,25 - 34 ans,Très satisfait,"5,80"
01/02/2011,Economique,35 - 49 ans,Très satisfait,"5,40"
01/02/2011,Economique,50 - 64 ans,Très satisfait,"5,80"
01/02/2011,Economique,65 ans et +,Très satisfait,"5,50"
01/02/2011,Economique,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Très satisfait,"6,00"
01/02/2011,Economique,"Profession intermédiaire (technicien, agent de maitrise)",Très satisfait,"5,00"
01/02/2011,Economique,Employé et personnel de service,Très satisfait,"1,50"
01/02/2011,Economique,Ouvrier qualifié et non qualifié,Très satisfait,"8,00"
01/02/2011,Economique,Retraité,Très satisfait,"5,10"
01/02/2011,Economique,75 - Paris,Très satisfait,"4,40"
01/02/2011,Economique,77 - Seine et Marne,Très satisfait,"5,40"
01/02/2011,Economique,78 - Yvelines,Très satisfait,"3,40"
01/02/2011,Economique,91 - Essonne,Très satisfait,"9,70"
01/02/2011,Economique,92 - Hauts-de-seine,Très satisfait,"9,40"
01/02/2011,Economique,93 - Seine-Saint-Denis,Très satisfait,"5,00"
01/02/2011,Economique,94 - Val-de-Marne,Très satisfait,"6,30"
01/02/2011,Economique,95 - Val d'Oise,Très satisfait,"5,70"
01/02/2011,Transport,Total,Assez satisfait,"43,30"
01/02/2011,Transport,Homme,Assez satisfait,"42,90"
01/02/2011,Transport,Femme,Assez satisfait,"43,70"
01/02/2011,Transport,18 - 24 ans,Assez satisfait,"59,50"
01/02/2011,Transport,25 - 34 ans,Assez satisfait,"50,40"
01/02/2011,Transport,35 - 49 ans,Assez satisfait,"40,50"
01/02/2011,Transport,50 - 64 ans,Assez satisfait,"37,30"
01/02/2011,Transport,65 ans et +,Assez satisfait,"34,70"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Assez satisfait,"49,50"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)",Assez satisfait,"37,20"
01/02/2011,Transport,Employé et personnel de service,Assez satisfait,"51,50"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,Assez satisfait,"41,90"
01/02/2011,Transport,Retraité,Assez satisfait,"37,10"
01/02/2011,Transport,75 - Paris,Assez satisfait,"60,30"
01/02/2011,Transport,77 - Seine et Marne,Assez satisfait,"36,10"
01/02/2011,Transport,78 - Yvelines,Assez satisfait,"39,80"
01/02/2011,Transport,91 - Essonne,Assez satisfait,"31,80"
01/02/2011,Transport,92 - Hauts-de-seine,Assez satisfait,"49,70"
01/02/2011,Transport,93 - Seine-Saint-Denis,Assez satisfait,"35,30"
01/02/2011,Transport,94 - Val-de-Marne,Assez satisfait,"45,60"
01/02/2011,Transport,95 - Val d'Oise,Assez satisfait,"35,40"
01/02/2011,Environnement,Total,Assez satisfait,"51,20"
01/02/2011,Environnement,Homme,Assez satisfait,"51,70"
01/02/2011,Environnement,Femme,Assez satisfait,"50,70"
01/02/2011,Environnement,18 - 24 ans,Assez satisfait,"48,40"
01/02/2011,Environnement,25 - 34 ans,Assez satisfait,"55,20"
01/02/2011,Environnement,35 - 49 ans,Assez satisfait,"48,50"
01/02/2011,Environnement,50 - 64 ans,Assez satisfait,"53,20"
01/02/2011,Environnement,65 ans et +,Assez satisfait,"49,70"
01/02/2011,Environnement,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Assez satisfait,"49,60"
01/02/2011,Environnement,"Profession intermédiaire (technicien, agent de maitrise)",Assez satisfait,"49,30"
01/02/2011,Environnement,Employé et personnel de service,Assez satisfait,"54,00"
01/02/2011,Environnement,Ouvrier qualifié et non qualifié,Assez satisfait,"50,50"
01/02/2011,Environnement,Retraité,Assez satisfait,"50,80"
01/02/2011,Environnement,75 - Paris,Assez satisfait,"50,40"
01/02/2011,Environnement,77 - Seine et Marne,Assez satisfait,"55,80"
01/02/2011,Environnement,78 - Yvelines,Assez satisfait,"52,30"
01/02/2011,Environnement,91 - Essonne,Assez satisfait,"56,70"
01/02/2011,Environnement,92 - Hauts-de-seine,Assez satisfait,"54,10"
01/02/2011,Environnement,93 - Seine-Saint-Denis,Assez satisfait,"48,80"
01/02/2011,Environnement,94 - Val-de-Marne,Assez satisfait,"41,60"
01/02/2011,Environnement,95 - Val d'Oise,Assez satisfait,"50,30"
01/02/2011,Economique,Total,Assez satisfait,"44,50"
01/02/2011,Economique,Homme,Assez satisfait,"42,30"
01/02/2011,Economique,Femme,Assez satisfait,"46,50"
01/02/2011,Economique,18 - 24 ans,Assez satisfait,"52,80"
01/02/2011,Economique,25 - 34 ans,Assez satisfait,"52,20"
01/02/2011,Economique,35 - 49 ans,Assez satisfait,"42,20"
01/02/2011,Economique,50 - 64 ans,Assez satisfait,"37,40"
01/02/2011,Economique,65 ans et +,Assez satisfait,"41,20"
01/02/2011,Economique,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Assez satisfait,"56,10"
01/02/2011,Economique,"Profession intermédiaire (technicien, agent de maitrise)",Assez satisfait,"41,60"
01/02/2011,Economique,Employé et personnel de service,Assez satisfait,"49,10"
01/02/2011,Economique,Ouvrier qualifié et non qualifié,Assez satisfait,"39,60"
01/02/2011,Economique,Retraité,Assez satisfait,"40,10"
01/02/2011,Economique,75 - Paris,Assez satisfait,"49,20"
01/02/2011,Economique,77 - Seine et Marne,Assez satisfait,"41,30"
01/02/2011,Economique,78 - Yvelines,Assez satisfait,"56,90"
01/02/2011,Economique,91 - Essonne,Assez satisfait,"41,10"
01/02/2011,Economique,92 - Hauts-de-seine,Assez satisfait,"44,30"
01/02/2011,Economique,93 - Seine-Saint-Denis,Assez satisfait,"40,70"
01/02/2011,Economique,94 - Val-de-Marne,Assez satisfait,"41,80"
01/02/2011,Economique,95 - Val d'Oise,Assez satisfait,"36,30"
01/02/2011,Transport,Total,Pas vraiment satisfait,"23,20"
01/02/2011,Transport,Homme,Pas vraiment satisfait,"21,40"
01/02/2011,Transport,Femme,Pas vraiment satisfait,"24,90"
01/02/2011,Transport,18 - 24 ans,Pas vraiment satisfait,"20,20"
01/02/2011,Transport,25 - 34 ans,Pas vraiment satisfait,"18,30"
01/02/2011,Transport,35 - 49 ans,Pas vraiment satisfait,"29,20"
01/02/2011,Transport,50 - 64 ans,Pas vraiment satisfait,"24,50"
01/02/2011,Transport,65 ans et +,Pas vraiment satisfait,"19,90"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Pas vraiment satisfait,"29,50"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)",Pas vraiment satisfait,"30,40"
01/02/2011,Transport,Employé et personnel de service,Pas vraiment satisfait,"19,30"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,Pas vraiment satisfait,"22,20"
01/02/2011,Transport,Retraité,Pas vraiment satisfait,"20,00"
01/02/2011,Transport,75 - Paris,Pas vraiment satisfait,"17,70"
01/02/2011,Transport,77 - Seine et Marne,Pas vraiment satisfait,"22,80"
01/02/2011,Transport,78 - Yvelines,Pas vraiment satisfait,"22,10"
01/02/2011,Transport,91 - Essonne,Pas vraiment satisfait,"28,60"
01/02/2011,Transport,92 - Hauts-de-seine,Pas vraiment satisfait,"23,60"
01/02/2011,Transport,93 - Seine-Saint-Denis,Pas vraiment satisfait,"30,90"
01/02/2011,Transport,94 - Val-de-Marne,Pas vraiment satisfait,"20,30"
01/02/2011,Transport,95 - Val d'Oise,Pas vraiment satisfait,"23,00"
01/02/2011,Environnement,Total,Pas vraiment satisfait,"29,10"
01/02/2011,Environnement,Homme,Pas vraiment satisfait,"27,00"
01/02/2011,Environnement,Femme,Pas vraiment satisfait,"31,00"
01/02/2011,Environnement,18 - 24 ans,Pas vraiment satisfait,"34,60"
01/02/2011,Environnement,25 - 34 ans,Pas vraiment satisfait,"29,70"
01/02/2011,Environnement,35 - 49 ans,Pas vraiment satisfait,"33,30"
01/02/2011,Environnement,50 - 64 ans,Pas vraiment satisfait,"25,90"
01/02/2011,Environnement,65 ans et +,Pas vraiment satisfait,"20,50"
01/02/2011,Environnement,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Pas vraiment satisfait,"33,90"
01/02/2011,Environnement,"Profession intermédiaire (technicien, agent de maitrise)",Pas vraiment satisfait,"35,40"
01/02/2011,Environnement,Employé et personnel de service,Pas vraiment satisfait,"31,30"
01/02/2011,Environnement,Ouvrier qualifié et non qualifié,Pas vraiment satisfait,"28,90"
01/02/2011,Environnement,Retraité,Pas vraiment satisfait,"20,80"
01/02/2011,Environnement,75 - Paris,Pas vraiment satisfait,"33,60"
01/02/2011,Environnement,77 - Seine et Marne,Pas vraiment satisfait,"21,70"
01/02/2011,Environnement,78 - Yvelines,Pas vraiment satisfait,"24,90"
01/02/2011,Environnement,91 - Essonne,Pas vraiment satisfait,"22,20"
01/02/2011,Environnement,92 - Hauts-de-seine,Pas vraiment satisfait,"26,80"
01/02/2011,Environnement,93 - Seine-Saint-Denis,Pas vraiment satisfait,"33,60"
01/02/2011,Environnement,94 - Val-de-Marne,Pas vraiment satisfait,"38,90"
01/02/2011,Environnement,95 - Val d'Oise,Pas vraiment satisfait,"26,90"
01/02/2011,Economique,Total,Pas vraiment satisfait,"34,10"
01/02/2011,Economique,Homme,Pas vraiment satisfait,"34,80"
01/02/2011,Economique,Femme,Pas vraiment satisfait,"33,50"
01/02/2011,Economique,18 - 24 ans,Pas vraiment satisfait,"25,30"
01/02/2011,Economique,25 - 34 ans,Pas vraiment satisfait,"31,50"
01/02/2011,Economique,35 - 49 ans,Pas vraiment satisfait,"37,80"
01/02/2011,Economique,50 - 64 ans,Pas vraiment satisfait,"37,80"
01/02/2011,Economique,65 ans et +,Pas vraiment satisfait,"32,90"
01/02/2011,Economique,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Pas vraiment satisfait,"29,10"
01/02/2011,Economique,"Profession intermédiaire (technicien, agent de maitrise)",Pas vraiment satisfait,"39,10"
01/02/2011,Economique,Employé et personnel de service,Pas vraiment satisfait,"36,80"
01/02/2011,Economique,Ouvrier qualifié et non qualifié,Pas vraiment satisfait,"35,80"
01/02/2011,Economique,Retraité,Pas vraiment satisfait,"34,60"
01/02/2011,Economique,75 - Paris,Pas vraiment satisfait,"29,10"
01/02/2011,Economique,77 - Seine et Marne,Pas vraiment satisfait,"37,40"
01/02/2011,Economique,78 - Yvelines,Pas vraiment satisfait,"30,90"
01/02/2011,Economique,91 - Essonne,Pas vraiment satisfait,"35,20"
01/02/2011,Economique,92 - Hauts-de-seine,Pas vraiment satisfait,"32,00"
01/02/2011,Economique,93 - Seine-Saint-Denis,Pas vraiment satisfait,"33,50"
01/02/2011,Economique,94 - Val-de-Marne,Pas vraiment satisfait,"34,10"
01/02/2011,Economique,95 - Val d'Oise,Pas vraiment satisfait,"45,50"
01/02/2011,Transport,Total,Pas du tout satisfait,"16,00"
01/02/2011,Transport,Homme,Pas du tout satisfait,"16,50"
01/02/2011,Transport,Femme,Pas du tout satisfait,"15,60"
01/02/2011,Transport,18 - 24 ans,Pas du tout satisfait,"9,70"
01/02/2011,Transport,25 - 34 ans,Pas du tout satisfait,"17,90"
01/02/2011,Transport,35 - 49 ans,Pas du tout satisfait,"14,60"
01/02/2011,Transport,50 - 64 ans,Pas du tout satisfait,"22,10"
01/02/2011,Transport,65 ans et +,Pas du tout satisfait,"12,80"
01/02/2011,Transport,"Cadre, profession libérale, profession intellectuelle supérieure, chef d’entreprise de 10 salariés ou plus",Pas du tout satisfait,"15,90"
01/02/2011,Transport,"Profession intermédiaire (technicien, agent de maitrise)",Pas du tout satisfait,"17,80"
01/02/2011,Transport,Employé et personnel de service,Pas du tout satisfait,"15,90"
01/02/2011,Transport,Ouvrier qualifié et non qualifié,Pas du tout satisfait,"18,70"
01/02/2011,Transport,Retraité,Pas du tout satisfait,"15,30"
01/02/2011,Transport,75 - Paris,Pas du tout satisfait,"5,50"
01/02/2011,Transport,77 - Seine et Marne,Pas du tout satisfait,"19,90"
